To co bude za kvalita to vydrzi asi tyzden ten vak,Quality
PEPCO Slovensko no len tie tašky v dnešnej dobe nič nevydržia zipsy traky.... 😘,Quality
No a o kvalie nehovoriac..teplaciky sme mali jedny a hned zozmolene a trika letne este ok ale s dlhym rukavom dopukala potlac😣Kaslala som na to lebo triko som maximalne za 2.50 kupovala a len preto ze mi v hm chybala velkost 98/104 male a  110/116 obrovske tak som brala aj pepco...lebo v pepcu dat 3.99 to uz radsej v hm 4.99 a kvalita o inom..pepco uz nikdy viac to radsej zaru😉,Quality
Katastrofa žehliť zadok zvrhnutý do predu zošite na krivo síce pekné veci a kvalita hrôza,Quality
Pekne ale ten materiál katastrofa!!!,Quality
"Fakt su hrozne, neodporučam..",Quality
"do Pepca chodim nakupovat velmi casto ale mozem povedat ze tie pribory su hrozne,co sa kvality tyka.neodporucam",Quality
Nie všetko je dobré čo je lacné 😉,Quality
"Nikola Nikol Chudovská no ja mam male deti. Ale verim, ze to moze byt deti co siju ked je to v takej cene a kvalite.
Ja nie som nejaka na znacky. Ale toto je otras naozaj.
Mala som vazne asi 10-15ks teplakov od 0-24m. Kazde jedny krive, a to ozaj neprehanam vobec.",Quality
"Patrícia Bojanovská co tym porovnanim chcete povedat?
Za mna skor f&f, co po prvom prani je este nositelne ako pepco co po prvom moozno druhom prani hadzem do kosa, cize radsej 0,5€ prihodim a mam lepsie body co mi vydrzia nejaky ten mesiac...
Ale nekupujem ani pepco ani f&f body.
A co sa tyka h&m, f&f, zara ci lindex alebo next ci kik.... veci maju kvalitu a daju sa kupit lacnejsie od mamiciek v naozaj top stave a maju teda vyuzitelnost dlhu.
Cize pomer kvalita a cena je relativne fajn.",Quality
"Nikola Nikol Chudovská no ja mam male deti. Ale verim, ze to mozu byt deti, co siju ked je to v takej cene a kvalite.
Ja nie som nejaka na znacky. Ale toto je otras naozaj.
Mala som vazne asi 10-15ks teplakov od 0-24m. Kazde jedny krive, a to ozaj neprehanam vobec.",Quality
"Nikola Nikol Chudovská no ja mam male deti. Ale verim, ze to moze byt deti co siju ked je to v takej cene a kvalite.
Ja nie som nejaka na znacky. Ale toto je otras naozaj.
Mala som vazne asi 10-15ks teplakov od 0-24m. Kazde jedny krive, a to ozaj neprehanam vobec.",Quality
"Patrícia Bojanovská neobhajujem ani hm, ani zaru, ani kik,  všetko je to rovnaké. Ale! Chcela by som dostať odpoved na hore uvedené otázky, chcem aby sa konečne začalo niečo hýbať, nemôžeme sa len prizerať",Quality
"Ok ale zasa takto, troje bodycka z pepca 1,50x3=4,50 eura, F&F 3pack 5eur. Takze ? Skuste si to rozpocitat aj takto a neodsudzujte hned. Ja napriklad 16mesacnu dceru ktora len rastie a rastie obliekam len v pepcu a som nadmieru spokojna. Nenasla som tam este ani jeden chybny kusok. No skuste sa radsej pozriet v akych podmienkach pracuju zamestnanci Zari alebo H&Mka...",Quality
Žiadna kvalitka to teda nie je a naozaj niektoré vecičky sú už po prvom praní ako keby som to prala najmenej 1000x a dokonca tu raz bola foto chlapčeka ktorý sa z trička úplne vyhadzal ale priznám sa ze niekedy tam zabludim aj ja na nejaké veci 😏,Quality
"Lacne su preto, lebo po 2 praniach vyhodite do kosa 😂",Quality
Katarína Pavliková snáď pride odpoved 🤔 ale predpokladám že pravdu sa nedozviem 🙄😏,Quality
To by aj mňa zaujimalo 😋,Quality
Radka Sabačová jasne ze tecie😊😊😊ja som ho raz pouzila a uz je len na okrasu,Quality
